Game_Date,Year,Game_Stage,HomeTeam_ID,HomeTeam_Abb,HomeTeam_Score,HomeTeam_Name,VisitorTeam_ID,VisitorTeam_Abb,VisitorTeam_Score,VisitorTeam_Name
1996-11-06,1996,Final,16,MIA,100.0,Miami Heat,5,CHI,106,Chicago Bulls
1996-11-07,1996,Final,8,DEN,108.0,Denver Nuggets,11,HOU,110,Houston Rockets
1996-11-08,1996,Final,28,TOR,93.0,Toronto Raptors,14,LAL,92,Los Angeles Lakers
1996-11-09,1996,Final,11,HOU,91.0,Houston Rockets,29,UTA,85,Utah Jazz
1996-11-10,1996,Final,13,LAC,81.0,LA Clippers,18,MIN,70,Minnesota Timberwolves
1996-11-11,1996,Final,26,SAC,94.0,Sacramento Kings,21,OKC,110,Oklahoma City Thunder
1996-11-12,1996,Final,16,MIA,105.0,Miami Heat,4,CHA,97,Charlotte Hornets
1996-11-12,1996,Final,21,OKC,121.0,Oklahoma City Thunder,10,GSW,102,Golden State Warriors
1996-11-13,1996,Final,6,CLE,81.0,Cleveland Cavaliers,25,POR,70,Portland Trail Blazers
1996-11-14,1996,Final,18,MIN,100.0,Minnesota Timberwolves,7,DAL,90,Dallas Mavericks
1996-11-15,1996,Final,1,ATL,85.0,Atlanta Hawks,16,MIA,77,Miami Heat
1996-11-16,1996,Final,11,HOU,115.0,Houston Rockets,10,GSW,103,Golden State Warriors
1996-11-17,1996,Final,24,PHX,88.0,Phoenix Suns,14,LAL,102,Los Angeles Lakers
1996-11-19,1996,Final,28,TOR,98.0,Toronto Raptors,21,OKC,106,Oklahoma City Thunder
1996-11-20,1996,Final,30,WAS,110.0,Washington Wizards,21,OKC,115,Oklahoma City Thunder
1996-11-21,1996,Final,28,TOR,81.0,Toronto Raptors,6,CLE,89,Cleveland Cavaliers
1996-11-23,1996,Final,10,GSW,115.0,Golden State Warriors,11,HOU,120,Houston Rockets
1996-11-24,1996,Final,14,LAL,85.0,Los Angeles Lakers,11,HOU,90,Houston Rockets
1996-11-25,1996,Final,29,UTA,108.0,Utah Jazz,3,BKN,92,Brooklyn Nets
1991-01-29,1990,Final,11,HOU,91.0,Houston Rockets,27,SAS,89,San Antonio Spurs
1991-01-31,1990,Final,10,GSW,135.0,Golden State Warriors,13,LAC,119,LA Clippers
1991-02-01,1990,Final,13,LAC,92.0,LA Clippers,14,LAL,106,Los Angeles Lakers
1991-04-06,1990,Final,20,NYK,101.0,New York Knicks,9,DET,88,Detroit Pistons
1991-04-07,1990,Final,7,DAL,92.0,Dallas Mavericks,25,POR,110,Portland Trail Blazers
1991-04-09,1990,Final,6,CLE,98.0,Cleveland Cavaliers,1,ATL,104,Atlanta Hawks
1991-12-17,1991,Final,5,CHI,89.0,Chicago Bulls,14,LAL,102,Los Angeles Lakers
