id,Player_ID,First_Name,Last_Name,AST,BLK,DREB,FG3_PCT,FG3A,FG3M,FG_PCT,FGA,FGM,FT_PCT,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,Turnover,Player_Position,Players_Team_ID,Players_Team_Name,Home_Team_ID,Home_Team_Score,Visitor_Team_ID,Visitor_Team_Score
1069085,145,Joel,Embiid,8.0,3.0,10.0,0.28600000000000003,7.0,2.0,0.474,19.0,9.0,1.0,2.0,2.0,34:36,3.0,3.0,22.0,13.0,1.0,5.0,F-C,23,Philadelphia 76ers,12,96,23,120
1069086,389,JJ,Redick,5.0,0.0,3.0,0.667,9.0,6.0,0.583,12.0,7.0,0.0,0.0,0.0,33:20,0.0,0.0,20.0,3.0,0.0,1.0,G,23,Philadelphia 76ers,12,96,23,120
1069087,417,Ben,Simmons,8.0,1.0,7.0,0.0,0.0,0.0,0.5,10.0,5.0,0.5,2.0,1.0,33:21,1.0,2.0,11.0,8.0,1.0,6.0,G-F,23,Philadelphia 76ers,12,96,23,120
1069088,414,Landry,Shamet,1.0,0.0,2.0,0.667,3.0,2.0,0.4,5.0,2.0,0.0,0.0,0.0,14:39,0.0,0.0,6.0,2.0,0.0,1.0,G,23,Philadelphia 76ers,12,96,23,120
1069089,304,T.J.,McConnell,5.0,1.0,4.0,0.0,0.0,0.0,0.5,6.0,3.0,1.0,1.0,1.0,21:03,0.0,0.0,7.0,4.0,1.0,0.0,G,23,Philadelphia 76ers,12,96,23,120
1069090,55,Jonah,Bolden,0.0,0.0,4.0,0.667,3.0,2.0,0.667,3.0,2.0,0.0,0.0,0.0,12:40,2.0,1.0,6.0,6.0,0.0,2.0,F,23,Philadelphia 76ers,12,96,23,120
1069091,337,Mike,Muscala,0.0,1.0,6.0,0.75,4.0,3.0,0.667,6.0,4.0,0.0,0.0,0.0,22:23,1.0,0.0,11.0,7.0,1.0,0.0,F-C,23,Philadelphia 76ers,12,96,23,120
1069092,260,Furkan,Korkmaz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:09,0.0,0.0,0.0,0.0,0.0,0.0,G-F,23,Philadelphia 76ers,12,96,23,120
1069095,54,Bojan,Bogdanovic,1.0,0.0,1.0,0.14300000000000002,7.0,1.0,0.273,11.0,3.0,1.0,2.0,2.0,35:05,0.0,1.0,9.0,1.0,0.0,1.0,F,12,Indiana Pacers,12,96,23,120
1069096,489,Thaddeus,Young,1.0,0.0,3.0,1.0,3.0,3.0,0.647,17.0,11.0,1.0,2.0,2.0,31:54,3.0,3.0,27.0,6.0,1.0,3.0,F,12,Indiana Pacers,12,96,23,120
1069097,452,Myles,Turner,0.0,3.0,10.0,0.5,2.0,1.0,0.2,5.0,1.0,0.833,6.0,5.0,32:06,2.0,4.0,8.0,12.0,3.0,0.0,C-F,12,Indiana Pacers,12,96,23,120
1069098,357,Victor,Oladipo,7.0,0.0,0.0,0.5,6.0,3.0,0.3,20.0,6.0,0.0,0.0,0.0,33:37,2.0,1.0,15.0,2.0,0.0,3.0,G,12,Indiana Pacers,12,96,23,120
1069099,103,Darren,Collison,5.0,0.0,6.0,0.0,1.0,0.0,0.3,10.0,3.0,0.0,0.0,0.0,29:35,0.0,1.0,6.0,6.0,2.0,2.0,G,12,Indiana Pacers,12,96,23,120
1069100,251,Cory,Joseph,6.0,0.0,1.0,0.0,1.0,0.0,0.667,6.0,4.0,0.0,0.0,0.0,21:23,1.0,0.0,8.0,2.0,0.0,2.0,G,12,Indiana Pacers,12,96,23,120
1069101,406,Domantas,Sabonis,2.0,0.0,6.0,0.0,0.0,0.0,0.429,7.0,3.0,0.0,2.0,0.0,21:38,2.0,1.0,6.0,8.0,1.0,0.0,F,12,Indiana Pacers,12,96,23,120
1069102,150,Tyreke,Evans,0.0,0.0,1.0,0.25,4.0,1.0,0.429,14.0,6.0,0.0,0.0,0.0,14:51,1.0,2.0,13.0,2.0,1.0,0.0,G,12,Indiana Pacers,12,96,23,120
1069103,270,TJ,Leaf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5:57,0.0,0.0,2.0,0.0,1.0,0.0,F,12,Indiana Pacers,12,96,23,120
1069104,305,Doug,McDermott,0.0,0.0,0.0,0.0,3.0,0.0,0.25,4.0,1.0,0.0,0.0,0.0,11:36,1.0,1.0,2.0,1.0,0.0,1.0,F,12,Indiana Pacers,12,96,23,120
1069105,213,Aaron,Holiday,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1:09,0.0,0.0,0.0,0.0,0.0,0.0,G,12,Indiana Pacers,12,96,23,120
1069106,240,Alize,Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:09,0.0,0.0,0.0,0.0,0.0,0.0,F,12,Indiana Pacers,12,96,23,120
1069108,222,Chandler,Hutchison,0.0,0.0,4.0,0.0,1.0,0.0,0.667,9.0,6.0,0.0,0.0,0.0,33:00,1.0,2.0,12.0,5.0,1.0,0.0,F,5,Chicago Bulls,8,135,5,105
1069109,297,Lauri,Markkanen,1.0,0.0,9.0,0.5,10.0,5.0,0.556,18.0,10.0,0.667,3.0,2.0,25:09,1.0,3.0,27.0,10.0,0.0,2.0,F,5,Chicago Bulls,8,135,5,105
